iter	MultiClass
0	1.621079247
1	1.476816699
2	1.380934338
3	1.294305054
4	1.223371413
5	1.164154748
6	1.104481145
7	1.057207869
8	1.017236146
9	0.9790162642
10	0.9483508457
11	0.9162045297
12	0.8843980138
13	0.858149592
14	0.8346108707
15	0.8189794286
16	0.8035721326
17	0.7868979924
18	0.7701214055
19	0.7548010902
20	0.7397903593
21	0.726617136
22	0.7138631367
23	0.7015204997
24	0.6887765252
25	0.6787932274
26	0.6728467477
27	0.6616631294
28	0.6492177004
29	0.641194499
30	0.6318135292
31	0.6210706851
32	0.6125957336
33	0.6044217663
34	0.5953110623
35	0.5877815592
36	0.5811910942
37	0.5720418883
38	0.5658438082
39	0.5599262757
40	0.5542289171
41	0.5493895704
42	0.5459503139
43	0.5389180505
44	0.534524511
45	0.5276885071
46	0.5230499637
47	0.5194102823
48	0.5150839655
49	0.5095816033
50	0.5043611545
51	0.4994188443
52	0.4940740407
53	0.4901010881
54	0.4847873198
55	0.4800263137
56	0.4751753519
57	0.4704953387
58	0.4674258028
59	0.4634215635
60	0.4595906507
61	0.4562245558
62	0.4519747133
63	0.4484974508
64	0.4451132727
65	0.4399061005
66	0.4356698897
67	0.432351806
68	0.4274849988
69	0.4251537361
70	0.4222451471
71	0.4184630983
72	0.41553196
73	0.4124466503
74	0.4095084905
75	0.4055680967
76	0.4028286458
77	0.3995409377
78	0.3963848693
79	0.3942903621
80	0.3915770961
81	0.3876994715
82	0.3847450868
83	0.3813103053
84	0.3785490533
85	0.3749653855
86	0.3725239492
87	0.3694083852
88	0.3667896865
89	0.3637729945
90	0.3609053126
91	0.3593817633
92	0.3563167439
93	0.3536335979
94	0.350995037
95	0.3478099608
96	0.3450857986
97	0.3428605333
98	0.3394364354
99	0.3376002556
100	0.3345381389
101	0.3324911695
102	0.3302681376
103	0.3280504324
104	0.3263334867
105	0.3239928949
106	0.3222306822
107	0.3200429975
108	0.317938664
109	0.3158880617
110	0.3126069941
111	0.3105415354
112	0.3077849675
113	0.3057755574
114	0.3035948128
115	0.3018578446
116	0.2991012246
117	0.2960883032
118	0.2946975244
119	0.2928671429
120	0.2906542309
121	0.2891401232
122	0.2870493408
123	0.2855687317
124	0.2835053736
125	0.2816889059
126	0.2793764575
127	0.2773790381
128	0.2751930291
129	0.2730172265
130	0.2711308419
131	0.2690350892
132	0.2665521775
133	0.2646830104
134	0.2628093853
135	0.2612749956
136	0.2586275674
137	0.2571426541
138	0.2557639456
139	0.2541875955
140	0.2525498917
141	0.2512143892
142	0.2492281313
143	0.2474594109
144	0.245811246
145	0.2438730403
146	0.2422251077
147	0.2408311738
148	0.2386234453
149	0.2375579913
150	0.2360931868
151	0.2341509756
152	0.2330620706
153	0.2312432586
154	0.2298501821
155	0.2291499654
156	0.2276728179
157	0.2267459015
158	0.2251281868
159	0.224208896
160	0.2228554708
161	0.2214605478
162	0.2197087032
163	0.2181206572
164	0.2171565084
165	0.2149019392
166	0.2136461797
167	0.212434578
168	0.2108418147
169	0.2095585473
170	0.2085374331
171	0.2075798964
172	0.2062918394
173	0.2054237041
174	0.2043459284
175	0.2036902342
176	0.2023968705
177	0.2012598232
178	0.2002793419
179	0.1987512571
180	0.1974838092
181	0.1962092257
182	0.1952820141
183	0.194149666
184	0.1926554501
185	0.191059728
186	0.1903134869
187	0.1895149071
188	0.1883404749
189	0.1871877995
190	0.1864256725
191	0.1854298402
192	0.1842165169
193	0.1834713717
194	0.1827314518
195	0.1817926365
196	0.1810114081
197	0.1803054437
198	0.1793401298
199	0.1782264446
200	0.1774627476
201	0.1765076745
202	0.175435183
203	0.1743593785
204	0.1733527084
205	0.1723848237
206	0.1716642904
207	0.1711331432
208	0.1701433776
209	0.1694096723
210	0.1684955215
211	0.1678625061
212	0.1668564175
213	0.1657144632
214	0.1648144182
215	0.1641932131
216	0.1635340634
217	0.1627257747
218	0.1620768502
219	0.1616492181
220	0.1609002948
221	0.1604417922
222	0.1597377248
223	0.158933517
224	0.1580186828
225	0.1570655
226	0.1565915082
227	0.1557347909
228	0.1549520915
229	0.1543268979
230	0.1535913932
231	0.1530147862
232	0.1522877888
233	0.1518283944
234	0.1508916323
235	0.1498069164
236	0.1491053803
237	0.1484095105
238	0.1480284311
239	0.1471177681
240	0.1467836898
241	0.1463931703
242	0.1456758524
243	0.1449891624
244	0.1443565946
245	0.1436263333
246	0.1428831705
247	0.1422153376
248	0.1416906878
249	0.1410137529
250	0.1400869203
251	0.1396420767
252	0.139173614
253	0.1384574279
254	0.1382590595
255	0.1377595527
256	0.1374954816
257	0.1366844144
258	0.1358695337
259	0.1352639166
260	0.1347296992
261	0.1342283825
262	0.1338407614
263	0.1327535032
264	0.1322704866
265	0.13157862
266	0.1310475772
267	0.1304413213
268	0.1298727831
269	0.1293881464
270	0.1288523708
271	0.1282395862
272	0.1277046602
273	0.1270772222
274	0.1267779872
275	0.1263057721
276	0.1257670477
277	0.1253320078
278	0.1241996168
279	0.1237591308
280	0.1232959408
281	0.1229775767
282	0.1221858604
283	0.1216357998
284	0.121220654
285	0.1208241953
286	0.1202124364
287	0.1197481553
288	0.119067153
289	0.1187284376
290	0.1182214439
291	0.1178777966
292	0.1172614849
293	0.1168292644
294	0.116634171
295	0.1161536258
296	0.1156853029
297	0.1150012017
298	0.1145120639
299	0.1140011355
