iter	Passed	Remaining
0	26	8060
1	56	8429
2	81	8108
3	106	7865
4	136	8027
5	167	8193
6	197	8269
7	224	8199
8	248	8036
9	276	8031
10	314	8262
11	342	8208
12	379	8379
13	405	8288
14	433	8239
15	469	8332
16	504	8405
17	530	8307
18	553	8180
19	578	8096
20	603	8020
21	633	8007
22	659	7938
23	683	7864
24	716	7884
25	742	7822
26	766	7749
27	790	7675
28	818	7644
29	849	7648
30	873	7584
31	900	7539
32	923	7472
33	950	7437
34	972	7363
35	999	7326
36	1030	7325
37	1057	7289
38	1082	7246
39	1111	7222
40	1136	7178
41	1165	7159
42	1197	7159
43	1227	7139
44	1259	7137
45	1297	7164
46	1342	7226
47	1370	7196
48	1409	7222
49	1441	7205
50	1476	7208
51	1513	7217
52	1552	7235
53	1586	7229
54	1627	7248
55	1701	7411
56	1759	7501
57	1808	7544
58	1850	7558
59	1887	7550
60	1919	7519
61	1955	7508
62	2011	7567
63	2043	7534
64	2082	7529
65	2120	7518
66	2175	7565
67	2215	7557
68	2258	7561
69	2304	7573
70	2346	7567
71	2390	7570
72	2436	7577
73	2473	7554
74	2504	7512
75	2533	7467
76	2568	7439
77	2624	7469
78	2677	7489
79	2736	7524
80	2786	7534
81	2864	7615
82	2914	7620
83	2948	7581
84	2980	7539
85	3056	7606
86	3126	7654
87	3168	7632
88	3203	7594
89	3247	7578
90	3276	7524
91	3312	7489
92	3345	7447
93	3383	7415
94	3418	7377
95	3449	7330
96	3482	7289
97	3508	7230
98	3532	7172
99	3558	7116
100	3583	7060
101	3612	7012
102	3642	6966
103	3677	6930
104	3713	6896
105	3758	6879
106	3789	6835
107	3815	6782
108	3847	6741
109	3874	6692
110	3899	6639
111	3931	6598
112	3961	6555
113	3991	6513
114	4024	6474
115	4054	6431
116	4084	6389
117	4113	6344
118	4145	6305
119	4174	6261
120	4211	6229
121	4249	6200
122	4275	6152
123	4300	6103
124	4329	6061
125	4362	6023
126	4388	5978
127	4414	5932
128	4436	5881
129	4465	5839
130	4488	5790
131	4513	5744
132	4532	5691
133	4558	5647
134	4586	5605
135	4608	5557
136	4636	5516
137	4656	5466
138	4683	5424
139	4706	5378
140	4731	5335
141	4754	5290
142	4786	5254
143	4813	5214
144	4839	5172
145	4866	5133
146	4892	5092
147	4918	5050
148	4936	5002
149	4962	4962
150	4984	4918
151	5014	4882
152	5037	4840
153	5065	4802
154	5090	4762
155	5118	4724
156	5147	4688
157	5175	4651
158	5203	4614
159	5224	4571
160	5255	4537
161	5279	4497
162	5305	4459
163	5328	4418
164	5355	4381
165	5380	4343
166	5406	4305
167	5434	4270
168	5460	4232
169	5487	4195
170	5511	4157
171	5535	4119
172	5561	4082
173	5581	4041
174	5608	4006
175	5637	3971
176	5660	3933
177	5687	3898
178	5712	3861
179	5738	3825
180	5765	3790
181	5788	3752
182	5819	3720
183	5848	3686
184	5875	3652
185	5905	3619
186	5928	3582
187	5958	3549
188	5980	3512
189	6006	3477
190	6029	3440
191	6057	3407
192	6079	3370
193	6101	3333
194	6120	3295
195	6146	3261
196	6171	3226
197	6195	3191
198	6216	3155
199	6247	3123
200	6271	3089
201	6307	3060
202	6331	3025
203	6356	2991
204	6375	2954
205	6402	2921
206	6422	2885
207	6441	2849
208	6469	2816
209	6492	2782
210	6519	2749
211	6539	2714
212	6563	2680
213	6584	2645
214	6613	2614
215	6636	2580
216	6660	2547
217	6682	2513
218	6704	2479
219	6728	2446
220	6752	2413
221	6771	2379
222	6797	2347
223	6828	2316
224	6876	2292
225	6900	2259
226	6930	2228
227	6954	2196
228	6982	2164
229	7003	2131
230	7037	2102
231	7059	2069
232	7083	2036
233	7122	2009
234	7155	1979
235	7192	1950
236	7229	1921
237	7263	1892
238	7296	1862
239	7327	1831
240	7366	1803
241	7397	1773
242	7426	1742
243	7457	1711
244	7479	1678
245	7513	1649
246	7538	1617
247	7569	1587
248	7599	1556
249	7629	1525
250	7662	1495
251	7695	1465
252	7745	1438
253	7795	1411
254	7833	1382
255	7924	1361
256	7978	1334
257	8010	1304
258	8037	1272
259	8062	1240
260	8084	1208
261	8108	1176
262	8133	1144
263	8160	1112
264	8186	1081
265	8211	1049
266	8235	1017
267	8268	987
268	8300	956
269	8337	926
270	8373	896
271	8402	864
272	8426	833
273	8455	802
274	8474	770
275	8500	739
276	8520	707
277	8548	676
278	8569	645
279	8598	614
280	8629	583
281	8649	552
282	8681	521
283	8705	490
284	8731	459
285	8751	428
286	8780	397
287	8804	366
288	8838	336
289	8865	305
290	8895	275
291	8920	244
292	8956	213
293	8985	183
294	9009	152
295	9037	122
296	9067	91
297	9095	61
298	9121	30
299	9149	0
